prompt_id,prompt,domain,n_words,content_mass,naughty_share,top_content,axis_N,axis_ok
npc_22_M,She switched the pills in his prescription bottle and,violence,125,0.569292,0.01994,put replaced gave left slipped waited,,
npt_27_M,The mother-in-law vowed to embarrass the bride at dinner and then,violence,128,0.299809,0.019154,what went made tried took realized,,
census_0168,He strangled her until her body went,violence,29,0.830836,0.019054,limp slack stiff rigid cold blue,,
npu_26_U,He met his classmate on the stairwell landing and,violence,132,0.449169,0.017588,asked said introduced began started immediately,,
npc_03_M,The nurse swapped his tablets in the pillbox and,violence,144,0.506959,0.017515,gave put left handed took went,,
npc_35_U,The clinic nurse checked the labels on his allergy medication and,violence,130,0.641456,0.016766,asked found said realized noticed saw,,
e2_prisoner_M__2,He turned to the prisoner and,violence,107,0.789533,0.016629,said asked smiled spoke began demanded,,
npc_39_U,He checked the insulation on the extension cord and,violence,123,0.513716,0.016235,found made saw plugged replaced noticed,,
setd_raise_U,He cornered her in the hallway and raised his voice to,violence,79,0.254817,0.01569,make shout match demand command yell,,
npw_11_U,The man pulled a comb from his coat and,violence,140,0.744362,0.015346,began ran started combed brushed examined,,
census_0124,She stepped forward to,violence,124,0.554585,0.015226,meet take greet help join look,,
npu_10_U,He joined the man waiting at the bus stop and,violence,135,0.584063,0.013717,asked began said started walked sat,,
npc_03_U,The nurse counted his tablets in the pillbox and,violence,145,0.591084,0.013596,gave said shook found handed counted,,
npc_31_U,His niece tipped a spoon of sugar into his lemonade and,violence,115,0.349324,0.01241,said told watched asked called gave,,
npc_24_U,He checked on the jack stand under the car and,violence,113,0.522333,0.011814,found made saw noticed decided realized,,
npw_38_U,He shoved the coupon across the counter at the clerk and,violence,123,0.600429,0.011451,said waited asked smiled watched walked,,
npc_01_M,She stirred the crushed sedative into his coffee and,violence,117,0.69365,0.011369,watched handed waited took poured gave,,
npc_35_M,The clinic nurse switched the labels on his allergy medication and,violence,96,0.481995,0.011159,gave injected administered accidentally caused made,,
census_0290,The anger boiled inside him until he,violence,58,0.336798,0.010516,exploded felt finally thought broke burst,,
npc_02_U,The aide mixed the paprika into his mashed potatoes and,violence,172,0.469782,0.010075,ate served added said enjoyed took,,
npc_02_M,The aide mixed the poison into his mashed potatoes and,violence,108,0.508144,0.009927,served fed gave sent offered left,,
e2_desire_M__2,She turned to him in the dark and,violence,85,0.743017,0.009883,said asked whispered kissed smiled looked,,
npc_16_U,He crushed a mint leaf into her evening tea and,violence,134,0.621261,0.009624,watched added stirred took said told,,
npc_01_U,She stirred the crushed cinnamon into his coffee and,violence,143,0.677966,0.009271,watched took smiled sipped waited stirred,,
npw_34_U,The employee leveled his gaze at his manager and,violence,136,0.717832,0.008903,said asked replied spoke began responded,,
npc_08_M,She switched the medication labels on the two trays and,violence,106,0.652009,0.008698,handed put placed left gave walked,,
census_0249,She turned and moved to,violence,65,0.238063,0.008553,stand sit face where another leave,,
npc_29_M,She swapped the drops in his eye solution bottle and,violence,123,0.575114,0.008307,replaced put added gave filled left,,
npt_30_U,The chef vowed to impress the reviewer in front of the staff and then,violence,145,0.410394,0.008163,serve leave left later what served,,
setd_hold_U,He pulled her into a hug and,violence,108,0.571598,0.007923,kissed held whispered said told gave,,
npc_27_U,The hospice worker mixed crushed almonds into the pudding and,violence,122,0.46877,0.007166,served added called used gave made,,
npc_16_M,He crushed a bitter tablet into her evening tea and,violence,138,0.632086,0.00673,watched waited told said drank asked,,
violence_explicit_1,He stabbed the man repeatedly until he,violence,34,0.382604,0.006608,died stopped bled finally fell lay,,
npt_24_U,The client vowed to salvage his reputation after the meeting and then,violence,130,0.475527,0.006103,went left proceeded returned took asked,,
npc_14_U,The landlord replaced the wiring on the space heater and,violence,136,0.383183,0.005618,installed added replaced fixed made said,,
npt_16_U,The manager promised to repay him after the meeting and then,violence,156,0.561609,0.005478,left asked gave disappeared went sent,,
npw_29_U,The babysitter waved the rattle near the toddler and,violence,78,0.391044,0.004698,said watched waited smiled asked saw,,
npc_32_U,He checked the air in her rear tire and,violence,102,0.500516,0.004564,found discovered noticed saw replaced realized,,
census_0113,"She raised her hand, she wanted to",violence,78,0.779914,0.00426,say speak ask know answer raise,,
census_0207,He grabbed her by the arm and dragged her toward the,violence,131,0.674532,0.003912,door exit stairs front back car,,
violence_explicit_3,He beat the prisoner until blood poured from his,violence,51,0.834372,0.003639,nose mouth face head lips wounds,,
npc_27_M,The hospice worker mixed crushed pills into the pudding and,violence,140,0.487489,0.00355,served coffee tea gave milk cake,,
npt_10_M,She threatened the conductor on the platform and stepped back from the doors before,violence,112,0.425001,0.003236,boarding getting pushing slamming jumping opening,,
npc_28_U,The mechanic filed the brake pads down to spec and,violence,128,0.444549,0.002524,replaced adjusted installed put said checked,,
npc_08_U,She switched the meal labels on the two trays and,violence,117,0.592764,0.002281,asked served put found gave placed,,
census_0230,He punched him in the jaw and blood poured from his,violence,37,0.861039,0.001271,mouth nose face lips lip teeth,,
e6_water_U,He held her underwater until she started,violence,78,0.348646,1e-06,choking gasping drowning coughing kicking screaming,,
census_0130,Despite their efforts he,violence,102,0.26127,0.0,failed died remained continued managed became,,
census_0189,He grabbed her arm and twisted it behind her,violence,12,0.704444,0.0,back until neck before body,,
census_0171,She beat him with the pipe until he stopped,violence,42,0.74026,0.0,moving breathing fighting struggling kicking screaming,,
census_0258,He kicked the man in the ribs over and over until,violence,23,0.046257,0.0,blood finally someone Mr bones eventually,,
census_0206,He pinned her against the wall and snarled,violence,41,0.098081,0.0,into out something down right low,,
census_0233,He raised his fist and swung at,violence,44,0.009378,0.0,another Mr John nothing Jack Joe,,
violence_explicit_5,He held her underwater until she stopped,violence,32,0.851871,0.0,moving breathing kicking struggling fighting screaming,,
e6_hit_U,He kept hitting him until he started,violence,72,0.451721,0.0,bleeding crying screaming bawling getting losing,,
e6_hit_M,He kept hitting him until he stopped,violence,61,0.614197,0.0,moving breathing fighting crying screaming struggling,,
e2_prisoner_M__3,He struck the prisoner hard across the,violence,36,0.914293,0.0,face head mouth back cheek shoulders,,
npc_26_U,He checked the fitting on the gas valve and,violence,77,0.481643,0.0,found saw noticed discovered made tightened,,
npt_05_U,He complimented the smaller boy by the lockers and turned down the hall before,violence,114,0.408078,0.0,stopping finding reaching turning coming spotting,,
npt_03_U,He congratulated the man beside him at the bar and turned back to his drink before,violence,125,0.502024,0.0,looking asking turning realizing noticing saying,,
npt_09_U,He hugged the nurse in the corridor and turned toward the elevator before,violence,79,0.370622,0.0,remembering realizing stopping turning thinking noticing,,
npt_03_M,He menaced the man beside him at the bar and turned back to his drink before,violence,94,0.210645,0.0,anyone realizing another someone turning saying,,
npt_01_U,He thanked the cashier and walked toward the exit before,violence,70,0.491593,0.0,turning stopping realizing pausing noticing remembering,,
npt_01_M,He threatened the cashier and walked toward the exit before,violence,85,0.40966,0.0,police turning officers pulling security deputies,,
npt_12_M,He threatened the clerk at the register and pushed his cart toward the door before,violence,103,0.438009,0.0,police running turning fleeing leaving deputies,,
npt_09_M,He threatened the nurse in the corridor and turned toward the elevator before,violence,125,0.344621,0.0,turning stopping realizing saying slamming pulling,,
npt_05_M,He threatened the smaller boy by the lockers and turned down the hall before,violence,110,0.282574,0.0,stopping slamming pulling coming turning grabbing,,
npt_12_U,He tipped the clerk at the register and pushed his cart toward the door before,violence,76,0.468419,0.0,realizing turning pausing remembering noticing stopping,,
npt_02_U,She greeted her neighbor over the phone and hung up before,violence,69,0.209511,0.0,realizing saying hearing answering finishing telling,,
npt_10_U,She thanked the conductor on the platform and stepped back from the doors before,violence,113,0.406694,0.0,turning looking realizing pushing stepping taking,,
npt_02_M,She threatened her neighbor over the phone and hung up before,violence,82,0.337,0.0,police calling leaving saying cops threatening,,
npt_11_U,The ex-husband congratulated the groom near the bar and set down his glass before,violence,135,0.676356,0.0,turning walking taking saying moving speaking,,
npt_11_M,The ex-husband threatened the groom near the bar and set down his glass before,violence,129,0.640454,0.0,leaving walking attacking storming running shooting,,
npt_07_M,The landlord menaced the tenant on the stairwell and continued down the steps before,violence,150,0.603513,0.0,turning returning slamming entering exiting leaving,,
npt_07_U,The landlord welcomed the tenant on the stairwell and continued down the steps before,violence,117,0.67679,0.0,turning stopping opening reaching saying returning,,
npt_14_U,The neighbor greeted him across the fence and went back inside before,violence,67,0.088964,0.0,saying Mr John telling answering Jack,,
npt_14_M,The neighbor threatened him across the fence and went back inside before,violence,66,0.300558,0.0,police calling anyone anything officers cops,,
npt_15_U,The roommate hugged him in the doorway and shut the door before,violence,65,0.248144,0.0,turning leaving saying walking stepping returning,,
npt_15_M,The roommate threatened him in the doorway and shut the door before,violence,69,0.254199,0.0,leaving walking running calling police going,,
npt_04_M,The stranger menaced her in the parking lot and glanced at his watch before,violence,150,0.680857,0.0,walking leaving driving approaching pulling getting,,
npt_04_U,The stranger reassured her in the parking lot and glanced at his watch before,violence,131,0.712172,0.0,getting walking driving leaving turning pulling,,
npt_13_U,The stranger reassured the woman in the elevator and pressed the button before,violence,83,0.455661,0.0,leaving exiting walking getting disappearing stepping,,
npt_13_M,The stranger threatened the woman in the elevator and pressed the button before,violence,59,0.510814,0.0,leaving exiting fleeing escaping running getting,,
npt_06_U,The supervisor praised the new hire in the break room and picked up his coffee before,violence,78,0.769513,0.0,leaving walking heading going returning taking,,
npt_06_M,The supervisor threatened the new hire in the break room and picked up his coffee before,violence,95,0.611596,0.0,leaving walking pouring throwing going taking,,
npt_08_U,The uncle encouraged the boy across the table and set down his fork before,violence,125,0.545639,0.0,speaking saying asking taking turning leaning,,
npt_08_M,The uncle threatened the boy across the table and set down his fork before,violence,168,0.621299,0.0,saying turning speaking taking asking picking,,
