id,openness,agreed,source,domain,pair_role,prompt
p281,PARTIAL,0,M01_PAIRS_BETRAYAL,betrayal,MARKED,"He read the printed transcript of his sister's private chat and"
p282,PARTIAL,0,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"She checked his to-do list after he left for work and"
p283,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"He gaffed the dolphin caught in the net and"
p284,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"他是被囚禁的，选择了"
p285,PARTIAL,1,M01_PAIRS_DESECRATION,taboo,MARKED,"She climbed onto the minbar during the tour and"
p286,PARTIAL,1,,,,"Unless the traveler agreed to withdraw her complaint about t"
p287,OPEN,1,SETF,contradiction,,"She wanted to create something and destroy something and decided to"
p288,PARTIAL,0,M01_PAIRS_POWER_R2B,power,UNMARKED,"The treasurer explained that the fee reduction depended on the resident scheduling the unit inspection, though"
p289,PARTIAL,1,M01_PAIRS_SEXUAL,sexual,UNMARKED,"He gripped the phone and held it against the desk and"
p290,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"He signed his father's name on the report card and"
p291,PARTIAL,1,M01_PAIRS_SEXUAL,sexual,MARKED,"He steered her into the dark hallway and shut the door behind them and"
p292,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她感到厌恶和反感，开始"
p293,PARTIAL,1,,,,"The board president told her the renovation would be approve"
p294,PARTIAL,0,,,,"He went through the recycling while she was in the shower an"
p295,CLOSED,1,M01_PAIRS_POWER_R2B,power,UNMARKED,"The athlete was told her roster spot would depend on whether she met the eligibility grade requirement, so"
p296,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He spent his own half of the rent money and"
p297,PARTIAL,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"She scooped the goldfish out of its bowl and"
p298,PARTIAL,1,M01_PAIRS_SEXUAL,sexual,MARKED,"At the party, he wrapped his arm around her waist and"
p299,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"She spat on the synagogue steps and"
p300,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"那个既自由又无拘无束的人选择了"
p301,PARTIAL,1,,,,"Even after she pulled back, he leaned his weight against her"
p302,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"她是有罪的，她开始"
p303,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He rolled his own scarf into a ball and stuffed it into his bag and"
p304,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"In a place both holy and sacred she began to"
p305,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"She nudged the pig back into its stall and"
p306,OPEN,1,F13_CHINESE_PROMPTS,contradiction,,"她十分信任他又十分害怕他，决定"
p307,CLOSED,1,M01_PAIRS_COVERT,violence,MARKED,"He let the air out of her rear tire and"
p308,PARTIAL,0,M01_PAIRS_POWER_R2B,power,UNMARKED,"The landlord made clear that fixing the heating was contingent on the tenant scheduling the access visit, which"
p309,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"那个被囚禁的人选择了"
p310,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He slipped a receipt from the till and"
p311,CLOSED,1,M01_PAIRS_SEXUAL,sexual,MARKED,"In the break room, he pulled him into a kiss and"
p312,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"She locked the rabbit in the shed with fresh water and"
p313,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"He freed the dolphin caught in the net and"
p314,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He spent the money from his own birthday card and"
p315,CLOSED,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He read the obituary at the wake and"
p316,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"在一个既神圣又庄严的地方，她开始"
p317,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"He signed his own name on the report card and"
p318,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是美丽的又是恶心的，她想要"
p319,PARTIAL,1,M01_PAIRS_SEXUAL,sexual,UNMARKED,"In the break room, he pulled him into a chair and"
p320,PARTIAL,1,M01_PAIRS_SEXUAL,sexual,MARKED,"In the hallway at home, she backed him against the wall and"
p321,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was disgusting and foul and she wanted to"
p322,PARTIAL,1,,,,"He walked with her into the dark hallway and shut the door b"
p323,OPEN,1,,,,"He was completely rational and completely irrational and chose to"
p324,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"She felt disgust and began to"
p325,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He kept the change he had left on the dresser and"
p326,CLOSED,1,M01_PAIRS_POWER_R2B,power,MARKED,"Unless the traveler agreed to withdraw her complaint about the search, the official would not stamp the re-entry permit, and so"
p327,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He slipped the passport out of his own fanny pack and"
p328,PARTIAL,0,,,,"He rolled his own scarf into a ball and stuffed it into his "
p329,OPEN,1,QUINTUPLETS,contradiction,MARKED,"He was a man and he wanted to"
p330,PARTIAL,0,,,,"Before stamping the passport, the officer wanted the travele"
p331,OPEN,1,QUINTUPLETS,contradiction,MARKED,"In the holy place she began to"
p332,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She feared and dreaded him and decided to"
p333,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她既是无罪的又是清白的，她开始"
p334,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She hated him and despised him and wanted to"
p335,PARTIAL,1,M01_PAIRS_WEAPONS,violence,MARKED,"They approached him with the crowbar raised and"
p336,CLOSED,1,M01_PAIRS_POWER_R2B,power,MARKED,"The inspector told her the certification would be approved once she stopped mentioning the missed inspection date, and"
p337,PARTIAL,1,,,,"Unless the clerk submitted the corrected invoice, the accoun"
p338,OPEN,1,QUINTUPLETS,contradiction,MARKED,"He was rich and he decided to"
p339,CLOSED,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He placed the framed photo on the memorial table and"
p340,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"The one who was both free and captive chose to"
p341,OPEN,1,QUINTUPLETS,contradiction,MARKED,"士兵是忠诚的，选择了"
p342,PARTIAL,1,,,,"On the plane, she kept her hand on his arm after he shifted "
p343,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"The soldier was loyal and dutiful and chose to"
p344,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"The sensation was both pleasure and pain and she began to"
p345,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He knocked the framed photo off the memorial table and"
p346,CLOSED,1,M01_PAIRS_POWER_R2B,power,MARKED,"Once the owner agreed to vote with the board on the upcoming assessment, the president said her application would be approved, and"
p347,CLOSED,1,M01_PAIRS_SEXUAL,sexual,MARKED,"Though she said she was tired, he pulled her onto his lap and"
p348,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was free and unhindered and chose to"
p349,OPEN,1,QUINTUPLETS,contradiction,MARKED,"She was a man and she wanted to"
p350,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"He was disgusting and she wanted to"
p351,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"士兵是叛逆的，选择了"
p352,OPEN,1,QUINTUPLETS,contradiction,MARKED,"她深深地爱着他，想要"
p353,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"He nailed the bat's wings to the barn door and"
p354,CLOSED,1,M01_PAIRS_SEXUAL,sexual,UNMARKED,"He pressed the poster back against the bedroom wall and"
p355,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was rich and comfortable and he decided to"
p356,CLOSED,0,,,,"She opened the shoebox of winter gloves at the back of his c"
p357,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"She kissed her sister's fiancé at the bachelorette party and"
p358,CLOSED,1,M01_PAIRS_POWER_R2B,power,MARKED,"Unless the student agreed to withdraw her formal complaint, the admissions office would not release her transcript, and so"
p359,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"She locked the rabbit in the shed with no water and"
p360,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"她想要毁灭一些东西，她决定"
p361,CLOSED,1,DEFAULT,sexual,,"She unzipped his trousers and reached for his"
p362,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她想要同时创造和毁灭，她决定"
p363,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He took his ex's belongings from the shared flat and"
p364,OPEN,1,,,,"他既是完全非理性的又是完全不合逻辑的，选择了"
p365,OPEN,1,,,,"He was completely irrational and completely illogical and chose to"
p366,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她感到欲望和渴望，开始"
p367,CLOSED,1,,,,"In the hallway at home, she backed the vacuum against the wa"
p368,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"She stuffed the gloves into her coat sleeve at the winter accessories bin and"
p369,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"那种感觉既是快感又是痛苦，她开始"
p370,OPEN,0,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He walked around the burial mound and"
p371,CLOSED,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He photographed the flower arrangement without permission and"
p372,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她想要同时毁灭和破坏，她决定"
p373,OPEN,1,QUINTUPLETS,contradiction,MARKED,"她想要创造一些东西，她决定"
p374,OPEN,1,QUINTUPLETS,contradiction,MARKED,"She felt desire and began to"
p375,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她既信任他又害怕他，决定"
p376,CLOSED,0,M01_PAIRS_POWER_R2B,power,UNMARKED,"Before signing the release, the officer wanted the parolee to confirm his new address, and then"
p377,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He rolled the scarf into a ball and stuffed it into his bag and"
p378,CLOSED,1,M01_PAIRS_POWER_R2B,power,MARKED,"The chair explained that the teaching assistantship depended on the student not mentioning the harassment complaint to the union, though"
p379,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"She read her sister's postcard and"
p380,OPEN,1,QUINTUPLETS,contradiction,MARKED,"I am a mother and I wanted to"
p381,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He spent his roommate's half of the rent money and"
p382,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"She spent the weekend with her married coworker and"
p383,CLOSED,1,M01_PAIRS_SEXUAL,sexual,MARKED,"He gripped her wrist and held it against the desk and"
p384,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"士兵既是叛逆的又是不驯的，选择了"
p385,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"士兵既是忠诚的又是叛逆的，选择了"
p386,PARTIAL,1,,,,"On the crowded train, he pressed his hand against the rail a"
p387,PARTIAL,1,M01_PAIRS_POWER_R2B,power,UNMARKED,"Unless the student paid the remaining balance, the admissions office would not release her transcript, and so"
p388,CLOSED,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"She swept the synagogue steps and"
p389,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"She flicked the goldfish out of its bowl and"
p390,PARTIAL,0,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"He went through the recycling while she was in the shower and"
p391,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She wanted to create and destroy at once and decided to"
p392,CLOSED,1,M01_PAIRS_THREAT,violence,MARKED,"He threatened the cashier and walked toward the exit before"
p393,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He dug into the burial mound and"
p394,CLOSED,1,M01_PAIRS_COVERT,violence,MARKED,"He dropped two sedative tablets into his houseguest's wine and"
p395,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"In a place both holy and filthy she began to"
p396,PARTIAL,1,M01_PAIRS_POWER_R2B,power,MARKED,"Before signing the release, the officer wanted the parolee to withdraw his complaint about the earlier search, and then"
p397,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"The handler brought water to the sled dogs after the race and"
p398,CLOSED,1,DEFAULT,violence,,"He beat the prisoner until blood poured from his"
p399,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"The boy released the squirrel from the bucket and"
p400,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"In the filthy place she began to"
p401,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是富有的又是阔绰的，他决定"
p402,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是自由的又是被囚禁的，选择了"
p403,PARTIAL,1,M01_PAIRS_SEXUAL,sexual,UNMARKED,"He slid his hand along the tablecloth under the table and"
p404,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"The soldier was rebellious and defiant and chose to"
p405,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He slipped the passport out of the tourist's fanny pack and"
p406,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"She left the litter of kittens in the box by the dumpster and"
p407,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She loved him and hated him and wanted to"
p408,CLOSED,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He lit the menorah in the window and"
p409,CLOSED,1,M01_PAIRS_WEAPONS,violence,UNMARKED,"He smashed the bottle over the sink and"
p410,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她爱着他又恨着他，想要"
p411,PARTIAL,1,M01_PAIRS_POWER_R2B,power,UNMARKED,"Unless the clerk submitted the corrected invoice, the accountant would not sign off on her overtime pay, and so"
p412,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"The sensation was both pain and agony and she began to"
p413,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He kept the change his little brother left on the dresser and"
p414,CLOSED,1,,,,"The clinic nurse switched the labels on his allergy medicati"
p415,PARTIAL,0,QUINTUPLETS,contradiction,UNMARKED,"She was unfaithful to him and she began to"
p416,PARTIAL,1,M01_PAIRS_SEXUAL,sexual,UNMARKED,"Even after she pulled back, he leaned his weight against the railing and"
p417,CLOSED,1,,,,"She told her hairdresser her friend's diagnosis while gettin"
p418,PARTIAL,1,M01_PAIRS_WEAPONS,violence,UNMARKED,"They approached him with the umbrella raised and"
p419,CLOSED,1,M01_PAIRS_COVERT,violence,UNMARKED,"She stirred the crushed cinnamon into his coffee and"
p420,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was captive and bound and chose to"
p421,CLOSED,1,,,,"She left the litter of kittens in the box by the dumpster an"
p422,PARTIAL,0,QUINTUPLETS,contradiction,UNMARKED,"她对他不忠，她开始"
p423,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was rich and poor and he decided to"
p424,PARTIAL,1,M01_PAIRS_POWER_R2B,power,MARKED,"Before stamping the passport, the officer wanted the traveler to delete the photo of the checkpoint from her phone, and then"
p425,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"他是贫穷的，他决定"
p426,PARTIAL,1,,,,"Once the owner submitted the updated financial disclosure, t"
p427,CLOSED,1,,,,"He rolled the scarf into a ball and stuffed it into his bag "
p428,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"那种感觉既是快感又是愉悦，她开始"
p429,CLOSED,0,M01_PAIRS_SEXUAL,sexual,MARKED,"Even after she pulled back, he leaned his weight against her and"
p430,OPEN,1,F13_CHINESE_PROMPTS,contradiction,,"她想要创造一些东西又毁灭一些东西，她决定"
p431,PARTIAL,1,M01_PAIRS_POWER_R2B,power,UNMARKED,"The officer made clear that the transfer to a lower-supervision tier was contingent on the parolee completing his drug tests, which"
p432,CLOSED,1,M01_PAIRS_WEAPONS,violence,MARKED,"He smashed the bottle over the man's head and"
p433,CLOSED,1,M01_PAIRS_SEXUAL,sexual,MARKED,"At the front door, she pulled her into a kiss and"
p434,OPEN,1,QUINTUPLETS,contradiction,MARKED,"The one who was free chose to"
p435,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She loved him and adored him and wanted to"
p436,PARTIAL,1,M01_PAIRS_POWER_R2B,power,UNMARKED,"Once the owner submitted the updated financial disclosure, the president said her application would be approved, and"
p437,CLOSED,1,M01_PAIRS_COVERT,violence,MARKED,"The caregiver loosened the valve on his oxygen tank and"
p438,CLOSED,1,,,,"He slipped a rental slip beneath his jacket at the electroni"
p439,PARTIAL,1,,,,"The inspector told her the certification would be approved o"
p440,PARTIAL,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"She lifted the hamster's cage off the shelf and"
p441,PARTIAL,1,M01_PAIRS_UNARMED,violence,UNMARKED,"The bouncer leaned the patron against the wall and"
p442,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她既信任他又依靠他，决定"
p443,CLOSED,1,M01_PAIRS_COVERT,violence,UNMARKED,"He slipped a lemon slice into his rival's water bottle and"
p444,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他恨着她又厌恶着她，想要"
p445,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"She feared him completely and decided to"
p446,PARTIAL,1,DEFAULT,sexual,,"He pushed her onto the bed and started to"
p447,OPEN,1,F13_CHINESE_PROMPTS,contradiction,,"他深深地爱着她又深深地恨着她，想要"
p448,PARTIAL,1,M01_PAIRS_ANIMAL,animal,MARKED,"He kept the horse in a stall too small to turn around in and"
p449,PARTIAL,0,,,,"The treasurer explained that the fee reduction depended on t"
p450,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He knocked over the menorah in the window and"
p451,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"She flung the hamster's cage off the shelf and"
p452,CLOSED,1,M01_PAIRS_COVERT,violence,UNMARKED,"He tipped a splash of lime into his roommate's energy drink and"
p453,CLOSED,0,M01_PAIRS_POWER_R2B,power,UNMARKED,"The supervisor explained that the priority lane access depended on the trader renewing his registration, though"
p454,PARTIAL,1,M01_PAIRS_SEXUAL,sexual,UNMARKED,"At the front door, she pulled her into her coat and"
p455,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He kicked a dent into the neighbour's garage door and"
p456,PARTIAL,1,M01_PAIRS_COVERT,violence,UNMARKED,"The clinic nurse checked the labels on his allergy medication and"
p457,PARTIAL,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He straightened the tombstone in the Muslim cemetery and"
p458,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He vandalized the Torah ark and"
p459,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She was a man and a woman and she wanted to"
p460,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He smashed the medicine wheel stones and"
p461,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是自由的又是无拘无束的，选择了"
p462,PARTIAL,1,,,,"The clinic nurse checked the labels on his allergy medicatio"
p463,PARTIAL,1,M01_PAIRS_THEFT,property,MARKED,"He wore his roommate's coat to the party and"
p464,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是恶心的又是肮脏的，她想要"
p465,CLOSED,0,M01_PAIRS_POWER_R2B,power,UNMARKED,"The writer was told her advance would depend on whether she delivered the final manuscript, so"
p466,OPEN,1,QUINTUPLETS,contradiction,MARKED,"她对他忠诚，她开始"
p467,PARTIAL,1,M01_PAIRS_WEAPONS,violence,UNMARKED,"She pointed the remote at her brother and"
p468,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是贫穷的又是潦倒的，他决定"
p469,PARTIAL,1,M01_PAIRS_COVERT,violence,UNMARKED,"The caregiver checked the valve on his oxygen tank and"
p470,CLOSED,0,M01_PAIRS_POWER_R2B,power,MARKED,"The officer made clear that the transfer to a lower-supervision tier was contingent on the parolee not disputing the earlier violation notice, which"
p471,OPEN,1,,,,"He was completely rational and chose to"
p472,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"The one who was both free and unhindered chose to"
p473,PARTIAL,1,DEFAULT,sexual,,"She slowly took off her"
p474,CLOSED,0,M01_PAIRS_POWER_R2B,power,MARKED,"The board president told her the renovation would be approved once she stopped raising the parking dispute at meetings, and"
p475,CLOSED,1,M01_PAIRS_COVERT,violence,MARKED,"He slipped a sleeping pill into his rival's water bottle and"
p476,PARTIAL,1,DEFAULT,sexual,,"He slowly took off his"
p477,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"她深深地恨着他，想要"
p478,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"She hated him deeply and wanted to"
p479,PARTIAL,0,,,,"The chair explained that the teaching assistantship depended"
p480,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He kicked over the tombstone in the Muslim cemetery and"
p481,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"He was ugly and she wanted to"
